 Renda média domiciliar per capita - Brasil
Renda média domic. per capita por Município
Período:2000
"Município";"Renda_média_domic._per_capita"
"220890 Ribeiro Gonçalves";237,53
"220900 Rio Grande do Piauí";169,34
"220910 Santa Cruz do Piauí";193,34
"220915 Santa Cruz dos Milagres";112,17
"220920 Santa Filomena";156,93
"220930 Santa Luz";121,58
"220937 Santa Rosa do Piauí";135,69
"220935 Santana do Piauí";119,75
"220940 Santo Antônio de Lisboa";232,31
"220945 Santo Antônio dos Milagres";99,93
"220950 Santo Inácio do Piauí";184,14
"220955 São Braz do Piauí";129,59
"220960 São Félix do Piauí";161,91
"220965 São Francisco de Assis do Piauí";90,28
"220970 São Francisco do Piauí";106,82
"220975 São Gonçalo do Gurguéia";128,13
"220980 São Gonçalo do Piauí";130,98
"220985 São João da Canabrava";120,59
"220987 São João da Fronteira";148,72
"220990 São João da Serra";102,15
"220995 São João da Varjota";125,28
"220997 São João do Arraial";115,91
"221000 São João do Piauí";214,50
"221005 São José do Divino";104,89
"221010 São José do Peixe";140,55
"221020 São José do Piauí";111,91
"221030 São Julião";182,13
"221035 São Lourenço do Piauí";124,00
"221037 São Luis do Piauí";113,03
"221038 São Miguel da Baixa Grande";104,73
"221039 São Miguel do Fidalgo";63,74
"221040 São Miguel do Tapuio";112,53
"221050 São Pedro do Piauí";150,00
"221060 São Raimundo Nonato";231,76
"221062 Sebastião Barros";102,40
"221063 Sebastião Leal";113,39
"221065 Sigefredo Pacheco";98,68
"221070 Simões";130,90
"221080 Simplício Mendes";244,20
"221090 Socorro do Piauí";101,45
"221093 Sussuapara";145,05
"221095 Tamboril do Piauí";123,81
"221097 Tanque do Piauí";113,27
"221100 Teresina";492,95
"221110 União";126,99
"221120 Uruçuí";177,90
"221130 Valença do Piauí";272,33
"221135 Várzea Branca";84,24
"221140 Várzea Grande";168,94
"221150 Vera Mendes";106,43
"221160 Vila Nova do Piauí";141,06
"221170 Wall Ferraz";122,13
"230010 Abaiara";142,96
"230015 Acarape";156,06
"230020 Acaraú";159,48
"230030 Acopiara";176,95
"230040 Aiuaba";99,24
"230050 Alcântaras";135,26
"230060 Altaneira";128,94
"230070 Alto Santo";186,36
"230075 Amontada";123,93
"230080 Antonina do Norte";158,81
"230090 Apuiarés";118,53
"230100 Aquiraz";243,23
"230110 Aracati";212,53
"230120 Aracoiaba";142,70
"230125 Ararendá";127,63
"230130 Araripe";129,41
"230140 Aratuba";123,36
"230150 Arneiroz";110,71
"230160 Assaré";127,09
"230170 Aurora";137,20
"230180 Baixio";131,22
"230185 Banabuiú";167,14
"230190 Barbalha";228,46
"230195 Barreira";148,16
"230200 Barro";167,95
"230205 Barroquinha";117,91
"230210 Baturité";208,83
"230220 Beberibe";159,23
"230230 Bela Cruz";121,26
"230240 Boa Viagem";162,46
"230250 Brejo Santo";225,15
"230260 Camocim";196,22
"230270 Campos Sales";245,30
"230280 Canindé";151,84
"230290 Capistrano";108,61
"230300 Caridade";133,42
"230310 Cariré";133,11
"230320 Caririaçu";123,10
"230330 Cariús";129,02
"230340 Carnaubal";150,30
"230350 Cascavel";228,54
"230360 Catarina";105,64
"230365 Catunda";106,73
"230370 Caucaia";255,02
"230380 Cedro";188,45
"230390 Chaval";136,93
"230393 Choró";102,54
"230395 Chorozinho";163,11
"230400 Coreaú";127,59
"230410 Crateús";238,36
"230420 Crato";330,36
"230423 Croatá";105,06
"230425 Cruz";143,29
"230426 Deputado Irapuan Pinheiro";171,45
"230427 Ererê";158,83
"230428 Eusébio";210,51
"230430 Farias Brito";143,45
"230435 Forquilha";182,53
"230440 Fortaleza";603,29
"230445 Fortim";207,54
"230450 Frecheirinha";139,86
"230460 General Sampaio";109,70
"230465 Graça";102,64
"230470 Granja";108,22
"230480 Granjeiro";95,35
"230490 Groaíras";161,49
"230495 Guaiúba";140,24
"230500 Guaraciaba do Norte";154,21
"230510 Guaramiranga";165,85
"230520 Hidrolândia";141,83
"230523 Horizonte";247,38
"230526 Ibaretama";124,02
"230530 Ibiapina";156,19
"230533 Ibicuitinga";126,46
"230535 Icapuí";178,64
"230540 Icó";170,42
"230550 Iguatu";296,71
"230560 Independência";193,66
"230565 Ipaporanga";104,16
"230570 Ipaumirim";164,10
"230580 Ipu";188,90
"230590 Ipueiras";132,06
"230600 Iracema";217,77
"230610 Irauçuba";121,85
"230620 Itaiçaba";147,30
"230625 Itaitinga";189,91
"230630 Itapagé";180,15
"230640 Itapipoca";163,08
"230650 Itapiúna";136,22
"230655 Itarema";124,31
"230660 Itatira";106,42
"230670 Jaguaretama";171,47
"230680 Jaguaribara";168,44
"230690 Jaguaribe";235,31
"230700 Jaguaruana";167,38
"230710 Jardim";129,72
"230720 Jati";183,21
"230725 Jijoca de Jericoacoara";187,47
"230730 Juazeiro do Norte";289,57
"230740 Jucás";128,83
"230750 Lavras da Mangabeira";138,71
"230760 Limoeiro do Norte";259,90
"230763 Madalena";146,21
"230765 Maracanaú";255,22
"230770 Maranguape";206,55
"230780 Marco";156,60
"230790 Martinópole";110,48
"230800 Massapê";135,48
"230810 Mauriti";166,01
"230820 Meruoca";156,63
"230830 Milagres";154,88
"230835 Milhã";158,32
"230837 Miraíma";92,61
"230840 Missão Velha";190,82
"230850 Mombaça";147,68
"230860 Monsenhor Tabosa";117,63
"230870 Morada Nova";214,80
"230880 Moraújo";104,92
"230890 Morrinhos";130,17
"230900 Mucambo";154,89
"230910 Mulungu";180,40
"230920 Nova Olinda";181,05
"230930 Nova Russas";202,89
"230940 Novo Oriente";154,41
"230945 Ocara";112,08
"230950 Orós";152,56
"230960 Pacajus";207,28
"230970 Pacatuba";196,69
"230980 Pacoti";159,27
"230990 Pacujá";145,06
"231000 Palhano";124,27
"231010 Palmácia";139,52
"231020 Paracuru";159,99
"231025 Paraipaba";166,94
"231030 Parambu";133,94
"231040 Paramoti";111,82
"231050 Pedra Branca";161,34
"231060 Penaforte";178,96
"231070 Pentecoste";167,63
"231080 Pereiro";136,77
"231085 Pindoretama";206,39
"231090 Piquet Carneiro";137,65
"231095 Pires Ferreira";127,66
"231100 Poranga";122,28
"231110 Porteiras";168,98
"231120 Potengi";154,54
"231123 Potiretama";129,58
"231126 Quiterianópolis";142,32
"231130 Quixadá";198,60
"231135 Quixelô";130,19
"231140 Quixeramobim";168,88
"231150 Quixeré";160,41
"231160 Redenção";153,36
"231170 Reriutaba";152,59
"231180 Russas";217,00
"231190 Saboeiro";106,97
"231195 Salitre";111,35
"231220 Santa Quitéria";160,88
"231200 Santana do Acaraú";156,38
"231210 Santana do Cariri";115,39
"231230 São Benedito";178,85
"231240 São Gonçalo do Amarante";159,72
"231250 São João do Jaguaribe";221,47
"231260 São Luís do Curu";199,76
"231270 Senador Pompeu";205,23
"231280 Senador Sá";84,64
"231290 Sobral";297,56
"231300 Solonópole";163,60
"231310 Tabuleiro do Norte";243,56
"231320 Tamboril";113,26
"231325 Tarrafas";85,38
"231330 Tauá";206,67
"231335 Tejuçuoca";111,61
"231340 Tianguá";181,82
"231350 Trairi";121,12
"231355 Tururu";107,50
"231360 Ubajara";214,06
"231370 Umari";124,90
"231375 Umirim";113,91
"231380 Uruburetama";149,16
"231390 Uruoca";112,09
"231395 Varjota";178,19
"231400 Várzea Alegre";158,94
"231410 Viçosa do Ceará";112,75
"240010 Acari";259,86
"240020 Açu";277,89
"240030 Afonso Bezerra";181,86
"240040 Água Nova";92,22
"240050 Alexandria";155,89
"240060 Almino Afonso";155,46
"240070 Alto do Rodrigues";289,37
"240080 Angicos";233,56
"240090 Antônio Martins";121,61
"240100 Apodi";172,90
"240110 Areia Branca";286,75
"240120 Arês";181,92
"240130 Augusto Severo";189,95
"240140 Baía Formosa";150,94
"240145 Baraúna";176,86
"240150 Barcelona";149,14
"240160 Bento Fernandes";94,65
"240165 Bodó";146,63
"240170 Bom Jesus";162,27
"240180 Brejinho";185,37
"240185 Caiçara do Norte";132,31
"240190 Caiçara do Rio do Vento";135,14
"240200 Caicó";406,33
"240210 Campo Redondo";165,46
"240220 Canguaretama";141,70
"240230 Caraúbas";171,61
"240240 Carnaúba dos Dantas";320,81
"240250 Carnaubais";256,73
"240260 Ceará-Mirim";201,73
"240270 Cerro Corá";138,20
"240280 Coronel Ezequiel";126,29
"240290 Coronel João Pessoa";108,82
"240300 Cruzeta";337,84
"240310 Currais Novos";335,61
"240320 Doutor Severiano";106,46
"240330 Encanto";143,43
"240340 Equador";193,93
"240350 Espírito Santo";137,92
"240360 Extremoz";271,63
"240370 Felipe Guerra";160,07
"240375 Fernando Pedroza";207,09
"240380 Florânia";200,45
"240390 Francisco Dantas";177,67
"240400 Frutuoso Gomes";141,27
"240410 Galinhos";139,48
"240420 Goianinha";210,71
"240430 Governador Dix-Sept Rosado";159,99
"240440 Grossos";202,91
"240450 Guamaré";179,73
"240460 Ielmo Marinho";132,17
"240470 Ipanguaçu";167,26
"240480 Ipueira";206,89
"240485 Itajá";168,20
"240490 Itaú";187,52
"240500 Jaçanã";195,88
"240510 Jandaíra";151,70
"240520 Janduís";166,16
"240530 Januário Cicco";125,34
"240540 Japi";83,70
"240550 Jardim de Angicos";120,01
"240560 Jardim de Piranhas";225,78
"240570 Jardim do Seridó";304,01
"240580 João Câmara";202,83
"240590 João Dias";76,34
"240600 José da Penha";164,29
"240610 Jucurutu";208,30
"240620 Lagoa d'Anta";156,24
"240630 Lagoa de Pedras";105,52
"240640 Lagoa de Velhos";145,64
"240650 Lagoa Nova";140,78
"240660 Lagoa Salgada";126,63
"240670 Lajes";197,93
"240680 Lajes Pintadas";183,82
"240690 Lucrécia";170,24
"240700 Luís Gomes";137,92
"240710 Macaíba";228,29
"240720 Macau";267,76
"240725 Major Sales";120,54
"240730 Marcelino Vieira";146,44
"240740 Martins";174,35
"240750 Maxaranguape";127,76
"240760 Messias Targino";169,66
"240770 Montanhas";146,84
"240780 Monte Alegre";156,43
"240790 Monte das Gameleiras";115,30
"240800 Mossoró";352,94
"240810 Natal";669,15
"240820 Nísia Floresta";243,52
"240830 Nova Cruz";165,57
"240840 Olho-d'Água do Borges";170,87
"240850 Ouro Branco";224,82
"240860 Paraná";116,56
"240870 Paraú";208,98
"240880 Parazinho";146,02
"240890 Parelhas";240,94
"240325 Parnamirim";517,25
"240910 Passa e Fica";160,11
"240920 Passagem";138,25
"240930 Patu";292,42
"240940 Pau dos Ferros";337,60
"240950 Pedra Grande";145,61
"240960 Pedra Preta";97,05
"240970 Pedro Avelino";230,54
"240980 Pedro Velho";179,82
"240990 Pendências";199,95
"241000 Pilões";139,37
"241010 Poço Branco";132,31
"241020 Portalegre";161,00
"241025 Porto do Mangue";134,81
"241040 Pureza";129,76
"241050 Rafael Fernandes";158,99
"241060 Rafael Godeiro";164,42
"241070 Riacho da Cruz";136,79
"241080 Riacho de Santana";105,88
"241090 Riachuelo";175,83
"240895 Rio do Fogo";132,86
"241100 Rodolfo Fernandes";199,43
"241110 Ruy Barbosa";130,92
"241120 Santa Cruz";211,58
"240933 Santa Maria";158,49
"241140 Santana do Matos";138,42
"241142 Santana do Seridó";180,12
"241150 Santo Antônio";203,39
"241160 São Bento do Norte";188,94
"241170 São Bento do Trairí";126,38
"241180 São Fernando";191,08
"241190 São Francisco do Oeste";164,63
"241200 São Gonçalo do Amarante";229,05
"241210 São João do Sabugi";223,39
"241220 São José de Mipibu";205,72
"241230 São José do Campestre";165,54
"241240 São José do Seridó";334,25
"241250 São Miguel";146,40
"241255 São Miguel do Gostoso";114,84
"241260 São Paulo do Potengi";210,77
"241270 São Pedro";129,24
"241280 São Rafael";207,82
"241290 São Tomé";156,49
"241300 São Vicente";176,32
"241310 Senador Elói de Souza";134,20
"241320 Senador Georgino Avelino";200,14
"241030 Serra Caiada";230,06
"241330 Serra de São Bento";103,76
"241335 Serra do Mel";172,46
"241340 Serra Negra do Norte";208,24
"241350 Serrinha";137,99
"241355 Serrinha dos Pintos";171,71
"241360 Severiano Melo";148,57
"241370 Sítio Novo";113,15
"241380 Taboleiro Grande";168,80
"241390 Taipu";129,23
"241400 Tangará";141,89
"241410 Tenente Ananias";115,83
"241415 Tenente Laurentino Cruz";176,79
"241105 Tibau";230,25
"241420 Tibau do Sul";261,16
"241430 Timbaúba dos Batistas";339,12
"241440 Touros";164,51
"241445 Triunfo Potiguar";149,69
"241450 Umarizal";193,76
"241460 Upanema";127,68
"241470 Várzea";141,87
"241475 Venha-Ver";85,15
"241480 Vera Cruz";228,87
"241490 Viçosa";110,87
"241500 Vila Flor";298,76
"250010 Água Branca";145,00
"250020 Aguiar";116,20
"250030 Alagoa Grande";183,89
"250040 Alagoa Nova";162,79
"250050 Alagoinha";166,00
"250053 Alcantil";135,15
"250057 Algodão de Jandaíra";119,85
"250060 Alhandra";159,79
"250073 Amparo";148,84
"250077 Aparecida";216,04
"250080 Araçagi";127,71
"250090 Arara";149,40
"250100 Araruna";133,65
"250110 Areia";178,81
"250115 Areia de Baraúnas";127,41
"250120 Areial";164,31
"250130 Aroeiras";148,38
"250135 Assunção";168,85
"250140 Baía da Traição";125,84
"250150 Bananeiras";142,57
"250153 Baraúna";154,97
"250160 Barra de Santa Rosa";133,96
"250157 Barra de Santana";120,65
"250170 Barra de São Miguel";180,17
"250180 Bayeux";224,94
"250190 Belém";164,90
"250200 Belém do Brejo do Cruz";139,25
"250205 Bernardino Batista";134,15
"250210 Boa Ventura";130,33
"250215 Boa Vista";242,60
"250220 Bom Jesus";149,46
"250230 Bom Sucesso";151,12
"250240 Bonito de Santa Fé";170,63
"250250 Boqueirão";177,84
"250270 Borborema";164,75
"250280 Brejo do Cruz";206,86
"250290 Brejo dos Santos";176,55
"250300 Caaporã";160,78
"250310 Cabaceiras";186,53
"250320 Cabedelo";599,91
"250330 Cachoeira dos Índios";150,55
"250340 Cacimba de Areia";130,70
"250350 Cacimba de Dentro";120,23
"250355 Cacimbas";76,81
"250360 Caiçara";138,68
"250370 Cajazeiras";291,53
"250375 Cajazeirinhas";135,79
"250380 Caldas Brandão";133,59
"250390 Camalaú";145,02
"250400 Campina Grande";444,40
"250403 Capim";115,01
"250407 Caraúbas";166,53
"250410 Carrapateira";152,08
"250415 Casserengue";92,16
"250420 Catingueira";147,95
"250430 Catolé do Rocha";218,98
"250435 Caturité";162,04
"250440 Conceição";152,89
"250450 Condado";151,99
"250460 Conde";196,87
"250470 Congo";162,33
"250480 Coremas";166,91
"250485 Coxixola";174,52
"250490 Cruz do Espírito Santo";151,89
"250500 Cubati";177,30
"250510 Cuité";170,05
"250523 Cuité de Mamanguape";147,75
"250520 Cuitegi";143,40
"250527 Curral de Cima";113,72
"250530 Curral Velho";128,62
"250535 Damião";87,59
"250540 Desterro";129,00
"250560 Diamante";119,84
"250570 Dona Inês";121,83
"250580 Duas Estradas";160,71
"250590 Emas";113,87
"250600 Esperança";207,30
"250610 Fagundes";127,37
"250620 Frei Martinho";183,13
"250625 Gado Bravo";103,99
"250630 Guarabira";253,01
"250640 Gurinhém";142,56
"250650 Gurjão";191,05
"250660 Ibiara";129,14
"250260 Igaracy";145,04
"250670 Imaculada";99,91
"250680 Ingá";168,80
"250690 Itabaiana";203,92
"250700 Itaporanga";209,50
"250710 Itapororoca";166,86
"250720 Itatuba";117,56
"250730 Jacaraú";135,38
"250740 Jericó";174,63
"250750 João Pessoa";659,57
"251365 Joca Claudino";118,47
"250760 Juarez Távora";160,44
"250770 Juazeirinho";150,33
"250780 Junco do Seridó";145,59
"250790 Juripiranga";151,05
"250800 Juru";124,98
"250810 Lagoa";140,89
"250820 Lagoa de Dentro";138,10
"250830 Lagoa Seca";217,34
"250840 Lastro";109,39
"250850 Livramento";112,14
"250855 Logradouro";145,82
"250860 Lucena";150,72
"250870 Mãe d'Água";109,85
"250880 Malta";204,05
"250890 Mamanguape";195,20
"250900 Manaíra";119,95
"250905 Marcação";92,71
"250910 Mari";176,12
"250915 Marizópolis";163,13
"250920 Massaranduba";155,65
"250930 Mataraca";141,03
"250933 Matinhas";138,26
"250937 Mato Grosso";150,08
"250939 Maturéia";110,32
"250940 Mogeiro";131,54
"250950 Montadas";142,04
"250960 Monte Horebe";143,44
"250970 Monteiro";224,14
"250980 Mulungu";150,65
"250990 Natuba";131,52
"251000 Nazarezinho";117,96
"251010 Nova Floresta";163,62
"251020 Nova Olinda";118,96
"251030 Nova Palmeira";156,02
"251040 Olho d'Água";98,54
"251050 Olivedos";194,17
"251060 Ouro Velho";171,50
"251065 Parari";176,74
"251070 Passagem";165,65
"251080 Patos";320,96
"251090 Paulista";188,67
"251100 Pedra Branca";120,32
"251110 Pedra Lavrada";140,27
"251120 Pedras de Fogo";157,72
"251272 Pedro Régis";130,33
"251130 Piancó";203,24
"251140 Picuí";179,32
"251150 Pilar";165,27
"251160 Pilões";126,90
"251170 Pilõezinhos";139,53
"251180 Pirpirituba";187,16
"251190 Pitimbu";163,77
"251200 Pocinhos";143,84
"251203 Poço Dantas";127,85
"251207 Poço de José de Moura";163,79
"251210 Pombal";227,99
"251220 Prata";190,01
"251230 Princesa Isabel";194,26
"251240 Puxinanã";139,91
"251250 Queimadas";169,81
"251260 Quixabá";135,59
"251270 Remígio";183,24
"251274 Riachão";111,61
"251275 Riachão do Bacamarte";167,35
"251276 Riachão do Poço";152,33
"251278 Riacho de Santo Antônio";121,66
"251280 Riacho dos Cavalos";147,02
"251290 Rio Tinto";191,40
"251300 Salgadinho";125,81
"251310 Salgado de São Félix";141,12
"251315 Santa Cecília";90,75
"251320 Santa Cruz";156,55
"251330 Santa Helena";179,81
"251335 Santa Inês";80,21
"251340 Santa Luzia";231,39
"251370 Santa Rita";206,54
"251380 Santa Teresinha";135,15
"251350 Santana de Mangueira";101,06
"251360 Santana dos Garrotes";134,38
"251385 Santo André";235,63
"251392 São Bentinho";137,60
"251390 São Bento";220,79
"251396 São Domingos";149,75
"251394 São Domingos do Cariri";222,43
"251398 São Francisco";137,88
"251400 São João do Cariri";206,65
"250070 São João do Rio do Peixe";179,85
"251410 São João do Tigre";132,09
"251420 São José da Lagoa Tapada";109,06
"251430 São José de Caiana";110,97
"251440 São José de Espinharas";141,24
"251450 São José de Piranhas";162,00
"251455 São José de Princesa";123,43
"251460 São José do Bonfim";122,86
"251465 São José do Brejo do Cruz";146,60
"251470 São José do Sabugi";175,21
"251480 São José dos Cordeiros";149,75
"251445 São José dos Ramos";149,66
"251490 São Mamede";220,86
"251500 São Miguel de Taipu";139,33
"251510 São Sebastião de Lagoa de Roça";219,92
"251520 São Sebastião do Umbuzeiro";171,17
"251540 São Vicente do Seridó";110,85
"251530 Sapé";156,65
"251550 Serra Branca";224,37
"251560 Serra da Raiz";135,63
"251570 Serra Grande";203,21
"251580 Serra Redonda";180,12
"251590 Serraria";129,95
"251593 Sertãozinho";154,05
"251597 Sobrado";142,88
"251600 Solânea";198,47
"251610 Soledade";201,72
"251615 Sossêgo";121,84
"251620 Sousa";284,62
"251630 Sumé";197,81
"251640 Tacima";118,88
"251650 Taperoá";137,68
"251660 Tavares";120,83
"251670 Teixeira";172,38
"251675 Tenório";147,95
"251680 Triunfo";162,08
"251690 Uiraúna";239,57
"251700 Umbuzeiro";142,53
"251710 Várzea";168,44
"251720 Vieirópolis";115,29
"250550 Vista Serrana";255,34
"251740 Zabelê";167,67
"260005 Abreu e Lima";254,68
"260010 Afogados da Ingazeira";277,32
"260020 Afrânio";141,17
"260030 Agrestina";213,99
"260040 Água Preta";128,53
"260050 Águas Belas";128,58
"260060 Alagoinha";179,38
"260070 Aliança";147,81
"260080 Altinho";164,78
"260090 Amaraji";155,83
"260100 Angelim";160,43
"260105 Araçoiaba";148,37
"260110 Araripina";226,05
"260120 Arcoverde";336,12
"260130 Barra de Guabiraba";145,43
"260140 Barreiros";183,65
"260150 Belém de Maria";136,36
"260160 Belém do São Francisco";225,19
"260170 Belo Jardim";230,76
"260180 Betânia";115,33
"260190 Bezerros";228,57
"260200 Bodocó";150,65
"260210 Bom Conselho";158,30
"260220 Bom Jardim";145,11
"260230 Bonito";201,43
"260240 Brejão";125,82
"260250 Brejinho";114,68
"260260 Brejo da Madre de Deus";202,77
"260270 Buenos Aires";146,19
"260280 Buíque";118,07
"260290 Cabo de Santo Agostinho";259,75
"260300 Cabrobó";222,17
"260310 Cachoeirinha";247,57
"260320 Caetés";109,75
"260330 Calçado";143,22
"260340 Calumbi";125,91
"260345 Camaragibe";340,96
"260350 Camocim de São Félix";227,97
"260360 Camutanga";155,03
"260370 Canhotinho";165,35
"260380 Capoeiras";144,72
"260390 Carnaíba";128,06
"260392 Carnaubeira da Penha";78,47
"260400 Carpina";337,89
"260410 Caruaru";412,37
"260415 Casinhas";161,65
"260420 Catende";205,78
"260430 Cedro";184,50
"260440 Chã de Alegria";130,81
"260450 Chã Grande";189,97
"260460 Condado";155,62
"260470 Correntes";170,07
"260480 Cortês";143,85
"260490 Cumaru";110,80
"260500 Cupira";199,02
"260510 Custódia";202,33
"260515 Dormentes";127,78
"260520 Escada";187,53
"260530 Exu";137,14
"260540 Feira Nova";193,69
"260545 Fernando de Noronha";1111,85
"260550 Ferreiros";166,80
"260560 Flores";135,82
"260570 Floresta";225,36
"260580 Frei Miguelinho";159,64
"260590 Gameleira";149,74
"260600 Garanhuns";329,48
"260610 Glória do Goitá";166,34
"260620 Goiana";232,13
"260630 Granito";122,23
"260640 Gravatá";271,18
"260650 Iati";105,52
"260660 Ibimirim";134,23
"260670 Ibirajuba";133,11
"260680 Igarassu";239,35
"260690 Iguaracy";164,03
"260760 Ilha de Itamaracá";308,73
"260700 Inajá";133,14
"260710 Ingazeira";219,64
"260720 Ipojuca";200,57
"260730 Ipubi";167,79
"260740 Itacuruba";240,99
"260750 Itaíba";146,06
"260765 Itambé";153,74
"260770 Itapetim";172,55
"260775 Itapissuma";229,02
"260780 Itaquitinga";159,55
"260790 Jaboatão dos Guararapes";464,51
"260795 Jaqueira";127,56
"260800 Jataúba";142,63
"260805 Jatobá";206,46
"260810 João Alfredo";168,99
"260820 Joaquim Nabuco";159,72
"260825 Jucati";124,48
"260830 Jupi";184,78
"260840 Jurema";147,29
"260850 Lagoa de Itaenga";161,62
"260845 Lagoa do Carro";232,68
"260860 Lagoa do Ouro";114,31
"260870 Lagoa dos Gatos";146,20
"260875 Lagoa Grande";206,03
"260880 Lajedo";238,93
"260890 Limoeiro";231,83
"260900 Macaparana";152,96
"260910 Machados";182,17
"260915 Manari";54,18
"260920 Maraial";117,46
"260930 Mirandiba";128,42
"261430 Moreilândia";115,02
"260940 Moreno";197,98
"260950 Nazaré da Mata";232,92
"260960 Olinda";506,52
"260970 Orobó";154,32
"260980 Orocó";199,92
"260990 Ouricuri";206,00
"261000 Palmares";265,69
"261010 Palmeirina";199,37
"261020 Panelas";141,98
"261030 Paranatama";136,33
"261040 Parnamirim";170,20
"261050 Passira";159,00
"261060 Paudalho";207,69
"261070 Paulista";420,84
"261080 Pedra";172,26
"261090 Pesqueira";222,23
"261100 Petrolândia";229,07
"261110 Petrolina";398,36
"261120 Poção";156,34
"261130 Pombos";214,25
"261140 Primavera";167,13
"261150 Quipapá";144,48
"261153 Quixaba";101,27
"261160 Recife";772,12
"261170 Riacho das Almas";297,29
"261180 Ribeirão";219,78
"261190 Rio Formoso";161,89
"261200 Sairé";165,21
"261210 Salgadinho";159,82
"261220 Salgueiro";280,06
"261230 Saloá";148,38
"261240 Sanharó";264,47
"261245 Santa Cruz";113,98
"261247 Santa Cruz da Baixa Verde";156,02
"261250 Santa Cruz do Capibaribe";409,30
"261255 Santa Filomena";91,06
"261260 Santa Maria da Boa Vista";209,13
"261270 Santa Maria do Cambucá";135,88
"261280 Santa Terezinha";145,99
"261290 São Benedito do Sul";113,08
"261300 São Bento do Una";306,75
"261310 São Caitano";183,85
"261320 São João";151,49
"261330 São Joaquim do Monte";150,56
"261340 São José da Coroa Grande";195,10
"261350 São José do Belmonte";162,04
"261360 São José do Egito";190,77
"261370 São Lourenço da Mata";244,82
"261380 São Vicente Ferrer";154,62
"261390 Serra Talhada";249,63
"261400 Serrita";147,74
"261410 Sertânia";198,90
"261420 Sirinhaém";171,08
"261440 Solidão";95,36
"261450 Surubim";258,84
"261460 Tabira";161,80
"261470 Tacaimbó";152,30
"261480 Tacaratu";138,46
"261485 Tamandaré";166,09
"261500 Taquaritinga do Norte";276,94
"261510 Terezinha";92,56
"261520 Terra Nova";197,69
"261530 Timbaúba";233,09
"261540 Toritama";386,88
"261550 Tracunhaém";164,16
"261560 Trindade";359,87
"261570 Triunfo";226,04
"261580 Tupanatinga";101,62
"261590 Tuparetama";205,25
"261600 Venturosa";200,03
"261610 Verdejante";142,25
"261618 Vertente do Lério";110,21
"261620 Vertentes";194,11
"261630 Vicência";156,77
"261640 Vitória de Santo Antão";254,38
"261650 Xexéu";125,04
"270010 Água Branca";139,76
"270020 Anadia";168,51
"270030 Arapiraca";254,77
"270040 Atalaia";150,03
"270050 Barra de Santo Antônio";133,57
"270060 Barra de São Miguel";216,78
"270070 Batalha";247,27
"270080 Belém";143,30
"270090 Belo Monte";111,60
"270100 Boca da Mata";167,24
"270110 Branquinha";118,91
"270120 Cacimbinhas";141,75
"270130 Cajueiro";123,13
"270135 Campestre";149,40
"270140 Campo Alegre";130,34
"270150 Campo Grande";113,45
"270160 Canapi";83,68
"270170 Capela";142,48
"270180 Carneiros";118,16
"270190 Chã Preta";119,19
"270200 Coité do Nóia";124,00
"270210 Colônia Leopoldina";151,19
"270220 Coqueiro Seco";187,68
"270230 Coruripe";181,68
"270235 Craíbas";113,54
"270240 Delmiro Gouveia";217,12
"270250 Dois Riachos";149,26
"270255 Estrela de Alagoas";98,81
"270260 Feira Grande";135,14
"270270 Feliz Deserto";121,41
"270280 Flexeiras";130,44
"270290 Girau do Ponciano";108,96
"270300 Ibateguara";143,18
"270310 Igaci";93,47
"270320 Igreja Nova";111,97
"270330 Inhapi";99,38
"270340 Jacaré dos Homens";228,47
"270350 Jacuípe";113,31
"270360 Japaratinga";168,94
"270370 Jaramataia";124,90
"270380 Joaquim Gomes";121,32
"270390 Jundiá";124,11
"270400 Junqueiro";160,38
"270410 Lagoa da Canoa";120,28
"270420 Limoeiro de Anadia";124,69
"270430 Maceió";561,28
"270440 Major Isidoro";120,96
"270490 Mar Vermelho";127,78
"270450 Maragogi";142,94
"270460 Maravilha";82,50
"270470 Marechal Deodoro";217,49
"270480 Maribondo";200,90
"270500 Mata Grande";120,06
"270510 Matriz de Camaragibe";128,67
"270520 Messias";142,62
"270530 Minador do Negrão";124,15
"270540 Monteirópolis";183,70
"270550 Murici";153,56
"270560 Novo Lino";133,05
"270570 Olho d'Água das Flores";181,20
"270580 Olho d'Água do Casado";92,98
"270590 Olho d'Água Grande";97,85
"270600 Olivença";81,70
"270610 Ouro Branco";127,14
"270620 Palestina";110,23
"270630 Palmeira dos Índios";230,40
"270640 Pão de Açúcar";168,39
"270642 Pariconha";99,41
"270644 Paripueira";161,32
"270650 Passo de Camaragibe";135,57
"270660 Paulo Jacinto";121,02
"270670 Penedo";247,63
"270680 Piaçabuçu";162,41
"270690 Pilar";175,02
"270700 Pindoba";124,99
"270710 Piranhas";176,32
"270720 Poço das Trincheiras";69,63
"270730 Porto Calvo";133,84
"270740 Porto de Pedras";98,07
"270750 Porto Real do Colégio";118,06
"270760 Quebrangulo";149,36
"270770 Rio Largo";221,20
"270780 Roteiro";128,15
"270790 Santa Luzia do Norte";167,59
"270800 Santana do Ipanema";186,43
"270810 Santana do Mundaú";127,98
"270820 São Brás";133,45
"270830 São José da Laje";167,51
"270840 São José da Tapera";85,27
"270850 São Luís do Quitunde";139,60
"270860 São Miguel dos Campos";240,05
"270870 São Miguel dos Milagres";158,99
"270880 São Sebastião";138,99
"270890 Satuba";256,77
"270895 Senador Rui Palmeira";76,72
